confCase,confCaseRate,createDt,criticalRate,death,deathRate,gubun,seq,updateDt
3972,5.01,2021-02-03 14:19:57.57,20.45,812,56.35,80 이상,6637,null
40348,50.87,2021-02-03 14:19:57.57,1.8,728,50.52,여성,6636,null
38962,49.13,2021-02-03 14:19:57.57,1.83,713,49.48,남성,6635,null
3013,3.82,2021-02-02 14:17:29.29,0,0,0.00,0-9,6612,null
5262,6.67,2021-02-02 14:17:29.29,0,0,0.00,10-19,6611,null
12030,15.26,2021-02-02 14:17:29.29,0,0,0.00,20-29,6610,null
10056,12.75,2021-02-02 14:17:29.29,0.06,6,0.42,30-39,6609,null
11302,14.33,2021-02-02 14:17:29.29,0.11,12,0.84,40-49,6608,null
14799,18.77,2021-02-02 14:17:29.29,0.32,47,3.28,50-59,6607,null
12373,15.69,2021-02-02 14:17:29.29,1.35,167,11.64,60-69,6606,null
6048,7.67,2021-02-02 14:17:29.29,6.52,394,27.46,70-79,6605,null
3960,5.02,2021-02-02 14:17:29.29,20.43,809,56.38,80 이상,6604,null
40132,50.9,2021-02-02 14:17:29.29,1.81,726,50.59,여성,6603,null
38711,49.1,2021-02-02 14:17:29.29,1.83,709,49.41,남성,6602,null
3004,3.83,2021-02-01 14:18:13.13,0,0,0.00,0-9,6601,null
5232,6.66,2021-02-01 14:18:13.13,0,0,0.00,10-19,6600,null
11980,15.26,2021-02-01 14:18:13.13,0,0,0.00,20-29,6599,null
10019,12.76,2021-02-01 14:18:13.13,0.06,6,0.42,30-39,6598,null
11250,14.33,2021-02-01 14:18:13.13,0.09,10,0.70,40-49,6597,null
14729,18.76,2021-02-01 14:18:13.13,0.32,47,3.30,50-59,6596,null
12318,15.69,2021-02-01 14:18:13.13,1.36,167,11.72,60-69,6595,null
6029,7.68,2021-02-01 14:18:13.13,6.54,394,27.65,70-79,6594,null
3946,5.03,2021-02-01 14:18:13.13,20.3,801,56.21,80 이상,6593,null
39983,50.93,2021-02-01 14:18:13.13,1.8,719,50.46,여성,6592,null
38524,49.07,2021-02-01 14:18:13.13,1.83,706,49.54,남성,6591,null
2984,3.82,2021-01-31 14:14:00.00,0,0,0.00,0-9,6568,null
5202,6.65,2021-01-31 14:14:00.00,0,0,0.00,10-19,6567,null
11944,15.27,2021-01-31 14:14:00.00,0,0,0.00,20-29,6566,null
9975,12.77,2021-01-31 14:14:00.00,0.06,6,0.42,30-39,6565,null
11211,14.34,2021-01-31 14:14:00.00,0.09,10,0.70,40-49,6564,null
14675,18.77,2021-01-31 14:14:00.00,0.31,46,3.24,50-59,6563,null
12273,15.69,2021-01-31 14:14:00.00,1.36,167,11.76,60-69,6562,null
6011,7.69,2021-01-31 14:14:00.00,6.54,393,27.68,70-79,6561,null
3927,5.02,2021-01-31 14:14:00.00,20.33,798,56.20,80 이상,6560,null
39825,50.93,2021-01-31 14:14:00.00,1.8,717,50.49,여성,6559,null
38377,49.07,2021-01-31 14:14:00.00,1.83,703,49.51,남성,6558,null
2967,3.81,2021-01-30 13:54:10.10,0,0,0.00,0-9,6546,null
5182,6.66,2021-01-30 13:54:10.10,0,0,0.00,10-19,6545,null
11898,15.28,2021-01-30 13:54:10.10,0,0,0.00,20-29,6544,null
9926,12.75,2021-01-30 13:54:10.10,0.06,6,0.42,30-39,6543,null
